{'__module__': '__main__', '__dict__': <attribute '__dict__' of 'Flag' objects>, '__weakref__': <attribute '__weakref__' of 'Flag' objects>, '__doc__': None, 'diff_path': '/mnt/nas5/joonsung/SD_finetuned/sd-COCO-checkpoint-3', 'anchor': 14, 'dataset_train_name': 'members', 'dataset_test_name': 'nonmembers', 'attack': 'clid_clip', 'T': 1000, 'even_num': 10, 'max_n_samples': 1, 'max_clid_samples': 1, 'trials_eacht': 1, 'train_batch_size': 8, 'dataloader_num_workers': 0, 'resolution': 512, 'image_column': 'image', 'caption_column': 'text', 't_sec': 100, 'timestep': 10, 'stpsnumi': 1, 'outdir': '/home/test/MoFit/Results/COCO', 'dataset_config_name': None, 'cache_dir': None, 'train_data_dir': None, 'ver': 10, 'info': 'Uncond_anchor14_init_blip2_OptimIter1000_iters1000', 'eps': 0.3, 'lr': 0.06}	/mnt/nas5/joonsung/SD_finetuned/sd-COCO-checkpoint-3	
0.47256	-0.039289	0.43328
0.4402	-0.049366	0.39084
0.49833	-0.010781	0.48755
0.3944	-0.042456	0.35195
0.4425	-0.01258	0.42992
0.37727	-0.016283	0.36098
0.50901	-0.067564	0.44145
0.41608	-0.033838	0.38225
0.41323	-0.045421	0.36781
0.36982	-0.02937	0.34045
0.43814	-0.080013	0.35813
0.34394	-0.038991	0.30495
0.43446	-0.056959	0.3775
0.52855	-0.025889	0.50266
0.54768	-0.032685	0.515
0.41078	-0.042889	0.36789
0.51706	-0.048175	0.46889
0.26287	-0.015868	0.247
0.41003	-0.055608	0.35442
0.36148	-0.039397	0.32208
0.45048	-0.03409	0.41639
0.51698	-0.10167	0.41531
0.52262	-0.019808	0.50281
0.501	-0.02765	0.47335
0.41701	-0.016576	0.40043
0.37953	-0.036532	0.343
0.48456	-0.035882	0.44868
0.49671	-0.052811	0.4439
0.39995	-0.05678	0.34317
0.45177	-0.032421	0.41935
0.47835	-0.040674	0.43768
0.33912	-0.041815	0.29731
0.42114	-0.014678	0.40646
0.35679	-0.0112	0.34559
0.42847	-0.036326	0.39214
0.32196	-0.077248	0.24472
0.37307	-0.06093	0.31214
0.42063	-0.020412	0.40022
0.46242	-0.026745	0.43567
0.43715	-0.02904	0.40811
0.57889	-0.037147	0.54174
0.52803	-0.044551	0.48348
0.44013	-0.044019	0.39611
0.40929	-0.033323	0.37596
0.41125	-0.044503	0.36674
0.3766	-0.030672	0.34592
0.4363	-0.019427	0.41687
0.4218	-0.041726	0.38007
0.47777	-0.024714	0.45305
0.52192	-0.032235	0.48968
0.3739	-0.041168	0.33273
0.46486	-0.028714	0.43614
0.45911	-0.03459	0.42452
0.4118	-0.025262	0.38654
0.43412	-0.055548	0.37857
0.28996	-0.018561	0.2714
0.39562	-0.038036	0.35759
0.42285	-0.020611	0.40224
0.31866	-0.057659	0.261
0.38464	-0.029866	0.35478
0.53327	-0.032959	0.50031
0.54693	-0.016707	0.53022
0.35458	-0.034811	0.31977
0.44656	-0.041123	0.40544
0.40843	-0.043894	0.36454
0.31475	-0.041141	0.27361
0.47462	-0.055729	0.4189
0.4511	-0.028013	0.42309
0.46366	-0.047218	0.41645
0.46122	-0.048951	0.41227
0.37556	-0.033062	0.3425
0.40361	-0.08025	0.32336
0.45334	-0.038164	0.41517
0.37411	-0.036422	0.33769
0.48427	-0.027296	0.45698
0.43735	-0.034301	0.40305
0.57524	-0.036406	0.53883
0.35021	-0.058093	0.29212
0.5361	-0.032341	0.50376
0.41832	-0.02321	0.39511
0.50264	-0.047579	0.45506
0.42748	-0.071659	0.35582
0.43599	-0.019358	0.41663
0.43066	-0.012207	0.41845
0.35032	-0.023491	0.32682
0.50423	-0.054072	0.45016
0.2983	-0.056198	0.24211
0.5087	-0.024831	0.48387
0.55614	-0.061955	0.49418
0.55529	-0.048492	0.5068
0.28254	-0.024589	0.25795
0.43901	-0.044916	0.3941
0.48175	-0.043118	0.43863
0.45533	-0.036404	0.41893
0.46995	-0.049296	0.42066
0.44035	-0.036413	0.40394
0.27867	-0.019888	0.25878
0.40628	-0.044564	0.36172
0.36307	-0.012016	0.35105
0.49012	-0.031756	0.45836
0.39471	-0.03315	0.36156
0.43586	-0.02547	0.41039
0.5245	-0.044241	0.48026
0.35807	-0.04491	0.31316
0.4154	-0.032315	0.38309
0.43729	-0.036125	0.40116
0.55116	-0.014244	0.53692
0.3658	-0.038454	0.32734
0.44166	-0.028193	0.41347
0.45958	-0.043242	0.41634
0.2847	-0.0075854	0.27712
0.50249	-0.062411	0.44008
0.4826	-0.039405	0.44319
0.30372	-0.071338	0.23238
0.4733	-0.068402	0.4049
0.45737	-0.021714	0.43565
0.36007	-0.028265	0.3318
0.51169	-0.02227	0.48942
0.42243	-0.037583	0.38485
0.40871	-0.066624	0.34208
0.47571	-0.049569	0.42614
0.43712	-0.031307	0.40581
0.49085	-0.023423	0.46743
0.5105	-0.036084	0.47442
0.34207	-0.050899	0.29117
0.4325	-0.021051	0.41145
0.54332	-0.020369	0.52296
0.42569	-0.026496	0.3992
0.5297	-0.038123	0.49157
0.3638	-0.040798	0.32301
0.3888	-0.035946	0.35285
0.47085	-0.033212	0.43764
0.46457	-0.023325	0.44124
0.46507	-0.051933	0.41314
0.39186	-0.044872	0.34699
0.42942	-0.047162	0.38226
0.41112	-0.041053	0.37006
0.49501	-0.037207	0.45781
0.43077	-0.03797	0.3928
0.39164	-0.048763	0.34288
0.49829	-0.029601	0.46868
0.39792	-0.025078	0.37284
0.46333	-0.023269	0.44006
0.49126	-0.017261	0.474
0.57104	-0.040598	0.53044
0.50839	-0.043556	0.46484
0.52784	-0.044568	0.48327
0.54222	-0.019988	0.52224
0.47509	-0.028482	0.4466
0.55003	-0.023731	0.5263
0.42682	-0.06267	0.36415
0.49573	-0.053227	0.44251
0.48209	-0.038064	0.44402
0.46048	-0.035964	0.42452
0.52872	-0.027774	0.50095
0.48455	-0.044798	0.43975
0.48923	-0.028028	0.46121
0.48197	-0.021497	0.46048
0.44269	-0.048771	0.39392
0.28663	-0.017791	0.26884
0.47955	-0.048629	0.43092
0.48113	-0.046557	0.43457
0.35722	-0.024537	0.33269
0.5651	-0.048045	0.51706
0.4265	-0.05303	0.37347
0.28873	-0.015203	0.27353
0.59088	-0.075808	0.51507
0.53239	-0.01712	0.51527
0.51733	-0.052598	0.46474
0.48997	-0.02762	0.46235
0.36184	-0.030388	0.33145
0.44701	-0.039786	0.40722
0.37845	-0.021701	0.35675
0.48878	-0.032766	0.45601
0.44364	-0.046117	0.39752
0.4709	-0.02832	0.44258
0.45061	-0.033798	0.41681
0.41096	-0.014714	0.39625
0.41764	-0.020719	0.39692
0.55197	-0.05173	0.50024
0.44498	-0.031164	0.41381
0.55499	-0.03154	0.52345
0.38264	-0.030513	0.35212
0.3861	-0.032563	0.35354
0.50144	-0.013522	0.48792
0.45342	-0.053313	0.40011
0.39875	-0.043105	0.35564
0.50155	-0.038005	0.46354
0.4513	-0.040397	0.41091
0.51969	-0.019767	0.49992
0.43102	-0.054897	0.37613
0.37551	-0.023565	0.35194
0.44742	-0.022919	0.4245
0.55391	-0.02742	0.52649
0.50891	-0.027713	0.48119
0.23624	-0.036751	0.19949
0.50428	-0.021967	0.48231
0.45476	-0.082917	0.37185
0.54635	-0.041551	0.5048
0.50602	-0.063453	0.44257
0.33744	-0.024968	0.31247
0.44974	-0.054078	0.39566
0.36919	-0.030733	0.33846
0.38922	-0.020715	0.36851
0.45848	-0.027889	0.43059
0.52875	-0.046072	0.48268
0.54897	-0.041787	0.50718
0.38223	-0.025987	0.35624
0.50651	-0.0544	0.45211
0.35918	-0.043079	0.3161
0.48886	-0.045286	0.44358
0.56373	-0.022634	0.54109
0.46242	-0.023405	0.43901
0.46358	-0.029332	0.43425
0.35836	-0.024721	0.33364
0.40726	-0.031174	0.37609
0.48729	-0.038218	0.44907
0.49251	-0.036623	0.45589
0.39959	-0.04923	0.35036
0.40111	-0.065247	0.33586
0.53592	-0.043372	0.49255
0.41484	-0.038215	0.37662
0.50586	-0.040188	0.46567
0.46849	-0.025817	0.44267
0.4769	-0.043637	0.43326
0.46235	-0.032795	0.42956
0.42336	-0.0068485	0.41651
0.43028	-0.058123	0.37216
0.5815	-0.054861	0.52664
0.4198	-0.025608	0.39419
0.48837	-0.047419	0.44095
0.47572	-0.065261	0.41046
0.37283	-0.035505	0.33733
0.4073	-0.044267	0.36303
0.44658	-0.038952	0.40763
0.44639	-0.033792	0.41259
0.40103	-0.032275	0.36876
0.54031	-0.0089137	0.53139
0.44014	-0.021092	0.41905
0.46027	-0.033152	0.42711
0.55197	-0.033466	0.5185
0.37545	-0.047012	0.32844
0.52944	-0.043854	0.48558
0.41242	-0.078051	0.33437
0.48897	-0.034353	0.45462
0.38889	-0.028691	0.36019
0.50784	-0.033097	0.47474
0.48429	-0.016563	0.46773
0.46123	-0.021112	0.44012
0.39018	-0.053694	0.33648
0.57796	-0.035095	0.54286
0.44435	-0.040832	0.40352
0.45211	-0.036485	0.41563
0.50385	-0.040295	0.46355
0.36927	-0.045273	0.324
0.37801	-0.042596	0.33541
0.43075	-0.037199	0.39355
0.34889	-0.031152	0.31774
0.4059	-0.054891	0.35101
0.49672	-0.010935	0.48578
0.4521	-0.040892	0.4112
0.47075	-0.057687	0.41306
0.30088	-0.032509	0.26837
0.47561	-0.051579	0.42403
0.34473	-0.022767	0.32196
0.25721	-0.020599	0.23661
0.44822	-0.05179	0.39643
0.51868	-0.023742	0.49494
0.48857	-0.052777	0.43579
0.43483	-0.05517	0.37966
0.40307	-0.045993	0.35708
0.4739	-0.042278	0.43163
0.49353	-0.040616	0.45291
0.43326	-0.035654	0.39761
0.49987	-0.035047	0.46482
0.35361	-0.056347	0.29726
0.54629	-0.054875	0.49142
0.47137	-0.05537	0.416
0.37074	-0.042741	0.328
0.48419	-0.0483	0.4359
0.41607	-0.072777	0.34329
0.20832	-0.024271	0.18405
0.45875	-0.043661	0.41509
0.47502	-0.051164	0.42386
0.38435	-0.03977	0.34458
0.33798	-0.031526	0.30645
0.42111	-0.040442	0.38067
0.42735	-0.041903	0.38544
0.42946	-0.024591	0.40487
0.38236	-0.030069	0.35229
0.27193	-0.018528	0.2534
0.52714	-0.046033	0.48111
0.51121	-0.036632	0.47458
0.35266	-0.049484	0.30317
0.47989	-0.057858	0.42203
0.43745	-0.028904	0.40854
0.46139	-0.051165	0.41023
0.47077	-0.033716	0.43706
0.47985	-0.063751	0.4161
0.36328	-0.054931	0.30835
0.52746	-0.03517	0.49229
0.44933	-0.045326	0.40401
0.34959	-0.034925	0.31467
0.55555	-0.057664	0.49789
0.37092	-0.026493	0.34442
0.42231	-0.022291	0.40002
0.52874	-0.018773	0.50996
0.46667	-0.032986	0.43368
0.55032	-0.050373	0.49995
0.45316	-0.055439	0.39772
0.52764	-0.023377	0.50426
0.48577	-0.014387	0.47139
0.37514	-0.037258	0.33788
0.41547	-0.041504	0.37396
0.48741	-0.030553	0.45685
0.42491	-0.066128	0.35878
0.41537	-0.028682	0.38669
0.46586	-0.021413	0.44445
0.21601	-0.048781	0.16723
0.57767	-0.026011	0.55166
0.46754	-0.051296	0.41624
0.38307	-0.046592	0.33648
0.36525	-0.061317	0.30393
0.50841	-0.039878	0.46854
0.45426	-0.047025	0.40724
0.36255	-0.018351	0.3442
0.31285	-0.030956	0.2819
0.38287	-0.037046	0.34583
0.52859	-0.029491	0.4991
0.51912	-0.045008	0.47412
0.22681	-0.056334	0.17048
0.28263	-0.045364	0.23726
0.43435	-0.033833	0.40052
0.50741	-0.042832	0.46458
0.48533	-0.025154	0.46017
0.42932	-0.020185	0.40913
0.47669	-0.048551	0.42813
0.37727	-0.050765	0.32651
0.48604	-0.041973	0.44406
0.19551	-0.072554	0.12295
0.38954	-0.018479	0.37106
0.53118	-0.022315	0.50886
0.47781	-0.051706	0.4261
0.56275	-0.041629	0.52113
0.53502	-0.039994	0.49503
0.4124	-0.010241	0.40216
0.37243	-0.010617	0.36181
0.38209	-0.075322	0.30677
0.47373	-0.048146	0.42558
0.37694	-0.029236	0.34771
0.30114	-0.029617	0.27153
0.45471	-0.025157	0.42955
0.36919	-0.036055	0.33313
0.40027	-0.051953	0.34831
0.53308	-0.022327	0.51075
0.47115	-0.025326	0.44582
0.47846	-0.039799	0.43866
0.38222	-0.036389	0.34583
0.41722	-0.019273	0.39795
0.38703	-0.051353	0.33568
0.46467	-0.042932	0.42174
0.51495	-0.046084	0.46886
0.4045	-0.039503	0.36499
0.44714	-0.041457	0.40568
0.51656	-0.028498	0.48806
0.47143	-0.0301	0.44133
0.5395	-0.045593	0.49391
0.4598	-0.037995	0.4218
0.35254	-0.075063	0.27748
0.49211	-0.028268	0.46384
0.30952	-0.014864	0.29465
0.36579	-0.039747	0.32604
0.46528	-0.055587	0.40969
0.43593	-0.037461	0.39847
0.46895	-0.066983	0.40197
0.37818	-0.02181	0.35637
0.36474	-0.047038	0.3177
0.52999	-0.045755	0.48423
0.46446	-0.027151	0.43731
0.39377	-0.035673	0.3581
0.42665	-0.050436	0.37621
0.43636	-0.044456	0.3919
0.37297	-0.016341	0.35663
0.40125	-0.028828	0.37243
0.45208	-0.067567	0.38451
0.3814	-0.026043	0.35536
0.18426	-0.023383	0.16088
0.52693	-0.032359	0.49457
0.32961	-0.041941	0.28767
0.5225	-0.034351	0.48815
0.27499	-0.018685	0.2563
0.45157	-0.032037	0.41953
0.49727	-0.068748	0.42852
0.43451	-0.050206	0.38431
0.49565	-0.0308	0.46485
0.51315	-0.020771	0.49238
0.52398	-0.02913	0.49485
0.42957	-0.034152	0.39542
0.48509	-0.030751	0.45434
0.47555	-0.025851	0.4497
0.30479	-0.019953	0.28484
0.46046	-0.03645	0.42401
0.40211	-0.049143	0.35296
0.44196	-0.033455	0.4085
0.34602	-0.057029	0.289
0.39146	-0.024779	0.36668
0.36514	-0.023353	0.34179
0.42112	-0.017556	0.40356
0.48293	-0.036892	0.44604
0.45876	-0.037378	0.42138
0.43007	-0.049097	0.38097
0.50272	-0.040987	0.46173
0.49417	-0.025523	0.46864
